              E          sigma            <L>      P (L = 0)
       55.00000    0.99270E-02        5.86833    0.22967E-03
       56.00000        0.05545        5.95481        0.00126
       57.00000        0.28575        6.08041        0.00635
       58.00000        1.35843        6.21020        0.02947
       59.00000        5.80359        6.40377        0.11981
       60.00000       20.61289        6.84429        0.35802
       61.00000       52.45950        7.79227        0.63535
       62.00000       95.05488        9.17641        0.75517
       63.00000      140.09738       10.64040        0.79767
       64.00000      186.08861       11.97409        0.86742
       65.00000      234.57189       13.12039        0.94765
       66.00000      284.44688       14.17473        0.98670
       67.00000      333.72636       15.19986        0.99845
       68.00000      381.62127       16.19269        1.00174
       69.00000      427.95219       17.14905        1.00299
       70.00000      472.74120       18.06709        1.00324
       71.00000      515.98292       18.94670        1.00352
       72.00000      557.73624       19.79000        1.00348
       73.00000      598.09166       20.60024        1.00354
       74.00000      637.06321       21.37967        1.00352
       75.00000      674.72280       22.13038        1.00349
