              E          sigma            <L>      P (L = 0)
       55.00000    0.98093E-02        5.87240    0.22705E-03
       56.00000        0.05497        5.95645        0.00125
       57.00000        0.28441        6.06930        0.00635
       58.00000        1.35333        6.20470        0.02943
       59.00000        5.80532        6.40128        0.11957
       60.00000       20.57591        6.84508        0.35676
       61.00000       52.21295        7.80537        0.63023
       62.00000       94.68164        9.18329        0.75072
       63.00000      139.56203       10.64784        0.79439
       64.00000      185.47784       11.98065        0.86342
       65.00000      233.93054       13.12632        0.94444
       66.00000      283.76725       14.18239        0.98280
       67.00000      333.04373       15.20773        0.99440
       68.00000      380.95965       16.20215        0.99777
       69.00000      427.34838       17.15998        0.99890
       70.00000      472.20209       18.07904        0.99936
       71.00000      515.55608       18.96005        0.99956
       72.00000      557.45847       19.80513        0.99964
       73.00000      597.96377       20.61685        0.99968
       74.00000      637.13062       21.39791        0.99969
       75.00000      675.02140       22.15093        0.99970
