              E          sigma            <L>      P (L = 0)
       55.00000        0.01014        6.07425        0.00022
       56.00000        0.05464        6.06694        0.00123
       57.00000        0.28056        6.09554        0.00631
       58.00000        1.35393        6.16847        0.03006
       59.00000        5.91455        6.34530        0.12361
       60.00000       21.00430        6.82592        0.36132
       61.00000       52.71556        7.83027        0.62501
       62.00000       95.02614        9.21591        0.74590
       63.00000      139.93635       10.67132        0.79385
       64.00000      185.94874       11.99774        0.86195
       65.00000      234.35514       13.14333        0.94126
       66.00000      284.12734       14.19686        0.98167
       67.00000      333.38759       15.21730        0.99478
       68.00000      381.29308       16.20726        0.99851
       69.00000      427.65986       17.16188        0.99957
       70.00000      472.48794       18.07894        0.99987
       71.00000      515.82784       18.95904        0.99996
       72.00000      557.74053       19.80416        0.99999
       73.00000      598.28752       20.61674        1.00000
       74.00000      637.52781       21.39931        1.00000
       75.00000      675.51733       22.15425        1.00000
