              E          sigma            <L>      P (L = 0)
       55.00000    0.97448E-02        5.87031    0.22629E-03
       56.00000        0.05489        5.94333        0.00126
       57.00000        0.28583        6.05134        0.00641
       58.00000        1.36500        6.19272        0.02972
       59.00000        5.84375        6.40451        0.11981
       60.00000       20.59856        6.86092        0.35491
       61.00000       52.14434        7.81887        0.62839
       62.00000       94.62476        9.18913        0.75138
       63.00000      139.58987       10.65032        0.79530
       64.00000      185.55959       11.98384        0.86342
       65.00000      234.04527       13.13045        0.94486
       66.00000      283.93526       14.18620        0.98364
       67.00000      333.26115       15.21129        0.99507
       68.00000      381.21016       16.20563        0.99820
       69.00000      427.61803       17.16333        0.99921
       70.00000      472.48080       18.08211        0.99962
