              E          sigma            <L>      P (L = 0)
       55.00000        0.01024        6.16283        0.00022
       56.00000        0.05431        6.10727        0.00120
       57.00000        0.27583        6.12585        0.00615
       58.00000        1.32676        6.18082        0.02949
       59.00000        5.84870        6.32471        0.12387
       60.00000       21.10572        6.78008        0.36896
       61.00000       53.27919        7.79653        0.63343
       62.00000       95.73539        9.20710        0.74633
       63.00000      140.48549       10.67638        0.79094
       64.00000      186.29756       12.00653        0.85965
       65.00000      234.58108       13.14982        0.94095
       66.00000      284.28833       14.19983        0.98201
       67.00000      333.48247       15.21802        0.99487
       68.00000      381.30981       16.20679        0.99826
       69.00000      427.59456       17.16078        0.99907
       70.00000      472.34451       18.07753        0.99921
       71.00000      515.61432       18.95754        0.99917
       72.00000      557.46638       19.80276        0.99908
       73.00000      597.96224       20.61563        0.99896
       74.00000      637.15959       21.39864        0.99882
       75.00000      675.11287       22.15416        0.99865
