              E          sigma            <L>      P (L = 0)
       55.00000    0.98404E-02        5.88109    0.22689E-03
       56.00000        0.05493        5.96775        0.00125
       57.00000        0.28350        6.07731        0.00632
       58.00000        1.34948        6.20483        0.02941
       59.00000        5.80477        6.39376        0.11998
       60.00000       20.62423        6.83643        0.35822
       61.00000       52.33582        7.80180        0.63112
       62.00000       94.83581        9.18332        0.75088
       63.00000      139.73021       10.64879        0.79450
       64.00000      185.64489       11.98202        0.86337
       65.00000      234.08801       13.12760        0.94478
       66.00000      283.92375       14.18296        0.98338
       67.00000      333.19597       15.20786        0.99484
       68.00000      381.10400       16.20220        0.99804
       69.00000      427.48814       17.16020        0.99908
       70.00000      472.34694       18.07960        0.99950
       71.00000      515.71889       18.96112        0.99969
       72.00000      557.65235       19.80683        0.99978
       73.00000      598.19978       20.61927        0.99982
       74.00000      637.41576       21.40106        0.99984
       75.00000      675.35710       22.15473        0.99985
